"bim.tif"	"forest_area_change20.tif"	"hfp_diff.tif"	"water_quality_BOD.tif"	"flood_new.tif"	"awarenon.tif"
0.0842384099960327	-0.606990814208984	-1.92650556564331	1.07904326915741	12	0.300000011920929
0	19	0.2	6.6	93.9	5
1.4	25.9	3	27.2	83.3	9.8
